skill,degree,closeness,degree - closeness
django,19,0.2530657451710083,-0.6342456716839296
spring boot,18,0.23951729227466373,-0.6003623662712417
confluence,18,0.2547382691604456,-0.6454500319043682
gitlab,17,0.255517682528606,-0.6540088146846925
google sheets,17,0.17649530660042145,-0.41992827635121666
rust,17,0.2496612732628782,-0.6366609253366353
openstack,17,0.24418624534044664,-0.6204427660061906
active directory,16,0.20245259613680666,-0.5030691093208163
autocad,16,0.15962732572112026,-0.37621184597693935
nlp,15,0.22879916686693902,-0.5873630732906562
zabbix,15,0.2361310911586223,-0.6090817417697872
bootstrap,15,0.2444244758237056,-0.6336484537194957
electron,15,0.2365770422278548,-0.6104027406024622
microsoft excel,15,0.18794830286519,-0.4663544080284612
flask,15,0.2453820643675791,-0.6364850280342896
vmware,14,0.2481774023965312,-0.6510153944868979
totvs,14,0.2547382691604456,-0.6704500319043681
hibernate,13,0.22171246700822853,-0.5788708100430631
laravel,13,0.24253154667889473,-0.6405412080749566
junit,13,0.23436397354471303,-0.6163471757686539
indesign,13,0.14720040406539261,-0.3581507468821176
jetpack,13,0.24904084266331836,-0.6598230822315949
ruby,12,0.24854671400724032,-0.6646093714729375
gcp,11,0.25761962747485684,-0.6977352081433361
owasp,11,0.22054145045712872,-0.5879020180527036
maven,11,0.22054145045712872,-0.5879020180527036
qgis,11,0.20082972963470802,-0.5295118447961473
tableau,11,0.24991031193944965,-0.6748986291425887
google cloud,11,0.2585501421251788,-0.7004915840142981
asp.net,10,0.18428472800242607,-0.48675214541261513
uml,10,0.2547382691604456,-0.6954500319043682
selenium,10,0.24136328296656864,-0.6558305705595106
grafana,10,0.24598437674943371,-0.6695192012502099
scada,10,0.17177585719526792,-0.4496982960681647
risc-v,10,0.2405521725581356,-0.6534278946234384
blazor,10,0.18428472800242607,-0.48675214541261513
adobe xd,10,0.23458341546750772,-0.6357472078996468
unix,9,0.2504098827779093,-0.6888784607653257
cypress,9,0.22319384206618997,-0.6082589477947871
playwright,9,0.23849127817163088,-0.6535731013699442
bash,9,0.2514150403605602,-0.6918559443615002
kafka,9,0.24768669077538139,-0.6808118056888387
prometheus,8,0.2688144718018221,-0.7496466406595768
salesforce,8,0.25460882898302667,-0.7075666034632931
react native,8,0.2247959512959159,-0.6192547250073591
arm,8,0.2394028549634957,-0.6625233794072174
mariadb,8,0.23480326871536855,-0.6488984584601261
mlflow,8,0.22984870432963142,-0.6342220192237861
spark,8,0.26809533196286595,-0.7475164004755445
vba,8,0.17165816219205088,-0.4618496592499394
proxmox,8,0.1919073823970113,-0.5218320162815464
cobit,8,0.2386048454469507,-0.6601595110087546
google analytics,8,0.2320843795454361,-0.6408445492592024
restful api,8,0.2352442138209373,-0.6502046285983264
terraform,7,0.2469542510786577,-0.6911421685893203
miro,7,0.24562263501891984,-0.6871976478070013
servicenow,7,0.20671211858027908,-0.5719366913018704
svn,7,0.2361310911586223,-0.6590817417697873
room,7,0.23349029610372624,-0.6512591634074227
delphi,7,0.23803808809434512,-0.6647306591058082
virtualbox,7,0.22953283345790038,-0.639536344703371
ansible,7,0.24904084266331836,-0.6973230822315949
azure devops,7,0.24323794924203712,-0.6801337178270146
ips,6,0.21719556802713327,-0.6092408257958974
github actions,6,0.24502209067902028,-0.691668711895171
dynamodb,6,0.23579772961816306,-0.6643442562894558
pytorch,6,0.2372491360978203,-0.6686436209454568
kubeflow,6,0.22601270881307914,-0.6353590111515484
api gateway,6,0.23579772961816306,-0.6643442562894558
tiktok,6,0.18128443395028815,-0.5028646570444923
safe,6,0.26372114496768234,-0.7470591584972169
pfsense,6,0.22299518266070162,-0.6264204777565794
tensorflow,6,0.2372491360978203,-0.6686436209454568
graphql,5,0.2424142116297032,-0.6901936375146244
lxc,5,0.22786274462873873,-0.6470891979287641
elasticsearch,5,0.23871852093310933,-0.6792462411903364
tdd,5,0.22489684714479197,-0.6383035992735794
perforce,5,0.23069529255920648,-0.6554797877665315
nagios,5,0.22289598551538992,-0.6323766353998675
protheus,5,0.22240132065627896,-0.6309113362974895
bitbucket,5,0.23316434408496814,-0.6627936264550648
ocr,5,0.23154814022116288,-0.6580060980360257
keras,4,0.23590874549839758,-0.6771731081710098
bpmn,4,0.20662687646952432,-0.5904341866291143
windows server,4,0.21700743847492268,-0.6211835473498796
unreal engine,4,0.23240731699378314,-0.6668011564336793
flutter,4,0.24622613043665675,-0.7077353254186441
mqtt,4,0.2035215984722163,-0.5812357142123199
raspberry pi,4,0.2355760110195564,-0.6761874801762248
jest,4,0.22601270881307914,-0.6478590111515483
next.js,4,0.23963183904284863,-0.6882016773694735
gerrit,4,0.23133433769094947,-0.663622770946305
svelte,4,0.22083304338413245,-0.6325157763050409
json,4,0.2386048454469507,-0.6851595110087545
hbase,4,0.2178565980167811,-0.6236989326487203
ajax,3,0.20034793100303738,-0.5780846581069963
android sdk,3,0.2120483180019452,-0.6127436120456047
superset,3,0.23048306137929922,-0.6673511153397624
sketch,3,0.2134029708000837,-0.6167563723874525
entity framework,3,0.19812976490256878,-0.5715139936741447
pandas,3,0.2280701754385965,-0.6602036506716503
fortinet,3,0.17538333057003727,-0.5041343745322837
keycloak,3,0.23951729227466373,-0.6941123662712417
cassandra,3,0.22963802724042,-0.664847950333451
talend,3,0.0029239766081871343,0.006725719736724033
sass,3,0.2242928269644568,-0.6490143672071375
google tag manager,3,0.16814435417402565,-0.4826910368464909
bdd,3,0.20688281397134453,-0.5974423261750608
macos,3,0.2025344282290204,-0.5845615128169571
feast,3,0.22063856250048283,-0.6381896839083552
rabbitmq,3,0.2314411895790284,-0.6701892882262486
assembly,3,0.23349029610372624,-0.6762591634074228
datadog,3,0.2314411895790284,-0.6701892882262486
blockchain,3,0.20518844203054729,-0.5924232478269306
hadoop,2,0.22181061329729812,-0.6479115395473457
swift,2,0.21833123112792874,-0.637604893591597
fedora,2,0.23122758442021066,-0.6758065457912159
api rest,2,0.22890368909940453,-0.6689226896512878
xml,2,0.20018784476172455,-0.5838604497184717
vagrant,2,0.22953283345790038,-0.670786344703371
microsoft teams,2,0.19161383381973096,-0.5584624649906658
redux,2,0.22181061329729812,-0.6479115395473457
clickhouse,2,0.22054145045712872,-0.6441520180527036
arduino,2,0.21276865199091147,-0.621127389547693
snowflake,2,0.23883230478484102,-0.6983332923730446
beam,2,0.2030268133867895,-0.5922700589748549
