skill,degree,closeness,degree - closeness
api gateway,10,0.2660706714809007,-0.7290719396978592
bdd,10,0.27316762035019687,-0.7489373322506229
cobol,10,0.23920403243227026,-0.6538683076717796
objective-c,10,0.2552345739264775,-0.6987401258968664
serverless,10,0.2608232182193005,-0.714383554468686
openshift,9,0.25182863988652604,-0.6908593134880873
ldap,9,0.26257658308812404,-0.7209443704282997
arduino,9,0.23044125865722515,-0.6309929213778387
debian,9,0.2306311175726997,-0.6315243641083705
svn,9,0.24503189346023566,-0.6718342312553557
android sdk,9,0.23446235970170803,-0.6422485683064183
swiftui,9,0.22855972153816226,-0.6257262252016146
golang,9,0.262535539464351,-0.7208294833531558
jquery,9,0.2475600432932693,-0.678910890505741
microsoft excel,8,0.22518886018947315,-0.6179435863590597
new relic,8,0.22775389704023127,-0.6251234977394369
superset,8,0.24378708378303005,-0.6700027204002379
helm,8,0.2533098731201547,-0.6966583934032778
pfsense,8,0.21887940492906569,-0.6002825030047246
grpc,8,0.2683235264355277,-0.7386837936497593
zoom,8,0.23531644325368622,-0.6462921650069521
sas,8,0.2488437830540315,-0.6841571574533655
circleci,8,0.25488597218653697,-0.7010701240261635
kibana,8,0.26883891376121416,-0.740126437767681
dynamodb,8,0.26183975582246244,-0.7205347762589397
rust,8,0.24033356424457114,-0.6603358166950505
pytest,8,0.26241248554381463,-0.7221379300861455
waf,7,0.23607718233511635,-0.6500744769519917
mqtt,7,0.27026649186952856,-0.7457753291798308
cloudflare,7,0.25805809537115854,-0.7116022509533341
quarkus,7,0.2622076518184662,-0.7232174632457954
aws lambda,7,0.2489544376674106,-0.6861197883794028
xgboost,7,0.2559346459006759,-0.7056584069051411
nagios,7,0.22162315942774763,-0.6096155636485916
oscp,7,0.2354814039569836,-0.6484068065806776
istio,7,0.24503189346023566,-0.6751400163793226
scss,7,0.23511879522967527,-0.6473918119902273
dagger,7,0.22843537758900856,-0.6286839535187774
apache tomcat,7,0.2590531524212517,-0.7143875604259746
jetpack,7,0.22843537758900856,-0.6286839535187774
electron,6,0.250215435936415,-0.6913023985825129
dast,6,0.25399941228327944,-0.7018942989787588
vagrant,6,0.24574893755551763,-0.6788000197001343
ocr,6,0.25092569115159263,-0.6932905062780881
dart,6,0.22092352696128714,-0.6093100831343613
chai,6,0.24012740206207525,-0.663064523871826
sast,6,0.25399941228327944,-0.7018942989787588
dynatrace,6,0.26212580783818734,-0.7246412625979695
palo alto,6,0.21720932605537477,-0.598913494350272
kinesis,6,0.25281419639093633,-0.6985767072369001
mlflow,5,0.24730488312201804,-0.6848082303063251
blockchain,5,0.24814524838933077,-0.6871605349699673
elixir,5,0.24064347212883236,-0.6661619716433326
azure functions,5,0.2589333405878649,-0.717357974794631
openai api,5,0.2399215932752211,-0.6641413276924415
sap hana,5,0.26327629339653347,-0.7295145316433892
okta,5,0.2516022940189028,-0.6968373087172571
uikit,5,0.2258854298598864,-0.6248520639094243
keycloak,5,0.23714382121047448,-0.656365939493292
chef,5,0.22573363533676305,-0.6244271689517825
ibm cloud,5,0.24157800988467248,-0.6687778788052766
nessus,5,0.21421734758283087,-0.5921914038087915
mariadb,5,0.2583756809050358,-0.7157970041980728
matplotlib,5,0.2528522564882477,-0.7003361355493323
crowdstrike,4,0.24854918442074517,-0.6899441032600752
express.js,4,0.25081327764103417,-0.6962816296288613
google tag manager,4,0.24628948071312934,-0.6836188637759733
qualys,4,0.21405354154376927,-0.5933857794322425
airbyte,4,0.24973178406411203,-0.6932543717403623
proxmox,4,0.2230654244934173,-0.6186113511154255
datasul,4,0.25766220966835707,-0.7154527869523405
argo workflows,4,0.24322223064559922,-0.6750331845254732
karma,4,0.2553121705135191,-0.708874685406873
checkpoint,4,0.2162584322053931,-0.5995575892248391
firebird,4,0.24730488312201804,-0.6864611228683086
single sign-on sso,4,0.242379841795683,-0.672675215559675
material ui,4,0.24657874384837195,-0.684428553381812
vb.net,3,0.248512408629605,-0.6914940550314607
micronaut,3,0.22918347734504815,-0.637389563838868
ray,3,0.25043929228706263,-0.6968876827669662
visual basic,3,0.2597743583208082,-0.7230178909284796
kubeflow,3,0.2333872179147065,-0.6491564453740485
lookml,3,0.2492869927603986,-0.69366222872226
automl,3,0.24571298569573338,-0.6836580628992411
storybook,3,0.22348095452374234,-0.6214273726955115
argocd,3,0.25081327764103417,-0.6979345221908447
perforce,3,0.23975035525275648,-0.6669677926749128
sqlite,3,0.2623714932005289,-0.7302876493624646
nexus,3,0.23604400445832133,-0.6565931774951076
prophet,3,0.21757511674631586,-0.604896073405884
codecommit,3,0.23913591709591878,-0.665247890867844
prefect,3,0.2490282620984781,-0.6929380039519896
iptables,3,0.23525052366736962,-0.6543721093028978
keras,3,0.25453832139473903,-0.7083614616836336
ios sdk,3,0.22197464002156683,-0.6172109792220998
gatling,3,0.25156460925981955,-0.7000376087170909
hilt,3,0.2271071751366622,-0.6315776918376191
microsoft dynamics,3,0.2010378973874182,-0.5586059901115058
travis ci,3,0.22918347734504815,-0.637389563838868
unreal engine,3,0.2413003539577883,-0.6713064645885496
blender,3,0.19889527073517502,-0.5526084663411188
spring cloud,3,0.23795014715919605,-0.6619287482751485
testng,3,0.25292841107193514,-0.7038550884341926
oracle cloud,3,0.24560519320365365,-0.6833563360291677
weaviate,3,0.24078146566169958,-0.6698540207450506
zeromq,3,0.22918347734504815,-0.637389563838868
crystal,3,0.24737773234011126,-0.688317930991928
vanilla js,3,0.20005611502866838,-0.555857838431518
edge computing,3,0.23436421038487204,-0.6518911894589186
llamaindex,3,0.24506764627171304,-0.6818516639489258
appdynamics,2,0.2193081039006575,-0.6113998491775289
milvus,2,0.22625057098716045,-0.6308328247418152
pinecone,2,0.23601083590573815,-0.6581532264520987
xamarin,2,0.23791644078520935,-0.6634872917917736
pulumi,2,0.24421244837850753,-0.6811107331691175
ibm websphere mq,2,0.23564659610286712,-0.6571336662438128
nunit,2,0.24668739277714408,-0.6880384626667734
microsoft sharepoint,2,0.19240175424974917,-0.5360850613974364
artifactory,2,0.21586930322256737,-0.6017741457042355
parquet,2,0.24510340951815912,-0.6836046630415744
bamboo,2,0.24280030556171817,-0.6771579399458985
cyberark,2,0.2428354100662453,-0.6772562025620797
opentelemetry,2,0.2369765239821073,-0.6608563278938453
plotly,2,0.2511132710956396,-0.7004271400839179
